order_id,customer_id,order_amount,product_category,days_to_return,return_reason,orders_last_30d,returns_last_30d,device_id,pincode,abuse_ring,is_returned,customer_return_rate,return_intensity,fast_return,high_return_behavior,device_customer_count,pincode_customer_count,behavior_risk_score,device_risk,pincode_risk,return_behavior_risk,fast_return_risk,ring_risk_score,risk_decision,risk_explanation
100057,903,2060.79,Electronics,2,Wrong item,15,5,20012,570012,1,0,0.333,0.3333333333333333,1,0,6,6,65.0,30,20,10.0,20,80.0,HIGH RISK - INVESTIGATE,device shared by 6 customers; pincode linked to 6 customers; returns occurring within 3 days
100162,2079,1005.68,Fashion,1,Wrong item,15,7,20012,570012,1,1,0.467,0.4666666666666667,1,0,6,6,69.0,30,20,14.0,20,84.0,HIGH RISK - INVESTIGATE,device shared by 6 customers; pincode linked to 6 customers; returns occurring within 3 days
100196,1810,2173.91,Fashion,1,Wrong item,15,8,20003,570003,1,1,0.533,0.5333333333333333,1,1,6,6,86.0,30,20,16.0,20,86.0,HIGH RISK - INVESTIGATE,device shared by 6 customers; pincode linked to 6 customers; high return intensity (53%); returns occurring within 3 days
100215,1698,1132.94,Electronics,1,Wrong item,14,5,20014,570014,1,0,0.357,0.3571428571428571,1,0,6,6,65.7,30,20,10.714285714285715,20,80.7,HIGH RISK - INVESTIGATE,device shared by 6 customers; pincode linked to 6 customers; returns occurring within 3 days
100218,2660,1268.85,Fashion,1,Not as expected,9,8,20010,570010,1,0,0.889,0.8888888888888888,1,1,6,6,96.7,30,20,26.666666666666664,20,96.7,HIGH RISK - INVESTIGATE,device shared by 6 customers; pincode linked to 6 customers; high return intensity (89%); returns occurring within 3 days
100223,2225,376.93,Electronics,3,Not as expected,10,6,20003,570003,1,0,0.6,0.6,1,1,6,6,88.0,30,20,18.0,20,88.0,HIGH RISK - INVESTIGATE,device shared by 6 customers; pincode linked to 6 customers; high return intensity (60%); returns occurring within 3 days
100275,2079,335.14,Electronics,1,Wrong item,14,8,20012,570012,1,1,0.571,0.5714285714285714,1,1,6,6,87.1,30,20,17.142857142857142,20,87.1,HIGH RISK - INVESTIGATE,device shared by 6 customers; pincode linked to 6 customers; high return intensity (57%); returns occurring within 3 days
100328,2278,260.6,Fashion,3,Damaged,15,6,20005,570005,1,0,0.4,0.4,1,0,6,6,67.0,30,20,12.0,20,82.0,HIGH RISK - INVESTIGATE,device shared by 6 customers; pincode linked to 6 customers; returns occurring within 3 days
100339,1698,574.23,Electronics,3,Changed mind,11,6,20014,570014,1,0,0.545,0.5454545454545454,1,1,6,6,86.4,30,20,16.363636363636363,20,86.4,HIGH RISK - INVESTIGATE,device shared by 6 customers; pincode linked to 6 customers; high return intensity (55%); returns occurring within 3 days
100357,457,878.81,Electronics,2,Changed mind,12,5,20011,570011,1,0,0.417,0.4166666666666667,1,0,6,6,67.5,30,20,12.5,20,82.5,HIGH RISK - INVESTIGATE,device shared by 6 customers; pincode linked to 6 customers; returns occurring within 3 days
